          t[s]                      z[m]
   0.0000000000000000        0.0000000000000000     
  0.16161616161616163       -5.5176206759525730     
  0.32323232323232326       -6.3848576551533718     
  0.48484848484848486       -5.5592829246618818     
  0.64646464646464652       -4.5661853224419584     
  0.80808080808080818       -4.0781937892839544     
  0.96969696969696972       -4.2940308483778686     
   1.1313131313131315       -5.1765113384973951     
   1.2929292929292930       -6.5943561065371838     
   1.4545454545454546       -8.4003010143067520     
   1.6161616161616164       -10.468694500289448     
   1.7777777777777779       -12.708741823173671     
   1.9393939393939394       -15.064310884603634     
   2.1010101010101012       -17.507381172370270     
   2.2626262626262630       -20.029479211383464     
   2.4242424242424243       -22.633544029045595     
   2.5858585858585861       -25.327396811390852     
   2.7474747474747478       -28.119184077763215     
   2.9090909090909092       -31.014692265236960     
   3.0707070707070709       -34.016191683881893     
   3.2323232323232327       -37.122381551215000     
   3.3939393939393940       -40.329017074972533     
   3.5555555555555558       -43.629862031063169     
   3.7171717171717176       -47.017696301350831     
   3.8787878787878789       -50.485197583506888     
   4.0404040404040407       -54.025597706407794     
   4.2020202020202024       -57.633080055965088     
   4.3636363636363642       -61.302932970513389     
   4.5252525252525260       -65.031504816508516     
   4.6868686868686869       -68.816021789325390     
   4.8484848484848486       -72.654332271203572     
   5.0101010101010104       -76.544635184265744     
   5.1717171717171722       -80.485237533275892     
   5.3333333333333339       -84.474371247713108     
   5.4949494949494957       -88.510084007757428     
   5.6565656565656575       -92.590204879401441     
   5.8181818181818183       -96.712374577540771     
   5.9797979797979801       -100.87412272285064     
   6.1414141414141419       -105.07297073961011     
   6.3030303030303036       -109.30653881166513     
   6.4646464646464654       -113.57263800524701     
   6.6262626262626272       -117.86933350129767     
   6.7878787878787881       -122.19497097120359     
   6.9494949494949498       -126.54816458390009     
   7.1111111111111116       -130.92775112814030     
   7.2727272727272734       -135.33271958964835     
   7.4343434343434351       -139.76212874400545     
   7.5959595959595969       -144.21502663230285     
   7.7575757575757578       -148.69038512135086     
   7.9191919191919196       -153.18706027172757     
   8.0808080808080813       -157.70378529292597     
   8.2424242424242440       -162.23919795406155     
   8.4040404040404049       -166.79189904158218     
   8.5656565656565657       -171.36053345832158     
   8.7272727272727284       -175.94388147288353     
   8.8888888888888893       -180.54094501278126     
   9.0505050505050519       -185.15101317763006     
   9.2121212121212128       -189.77369258145990     
   9.3737373737373737       -194.40889175337702     
   9.5353535353535364       -199.05675443444252     
   9.6969696969696972       -203.71754376456082     
   9.8585858585858599       -208.39148738612329     
   10.020202020202021       -213.07860153471395     
   10.181818181818183       -217.77851923254707     
   10.343434343434344       -222.49035266957995     
   10.505050505050505       -227.21262169545975     
   10.666666666666668       -231.94327812763015     
   10.828282828282829       -236.67984863076930     
   10.989898989898991       -241.41970693668958     
   11.151515151515152       -246.16046934375422     
   11.313131313131315       -250.90048656010467     
   11.474747474747476       -255.63938153319401     
   11.636363636363637       -260.37855919230407     
   11.797979797979799       -265.12159303741151     
   11.959595959595960       -269.87437895981964     
   12.121212121212123       -274.64494286422644     
   12.282828282828284       -279.44280018058055     
   12.444444444444445       -284.27779674512828     
   12.606060606060607       -289.15841572996430     
   12.767676767676768       -294.08961691948195     
   12.929292929292931       -299.07038300966269     
   13.090909090909092       -304.09127960999626     
   13.252525252525254       -309.13248315901660     
   13.414141414141415       -314.16287912533267     
   13.575757575757576       -319.14095774601844     
   13.737373737373739       -324.01830058377158     
   13.898989898989900       -328.74640800529357     
   14.060606060606062       -333.28739647831407     
   14.222222222222223       -337.62860380497614     
   14.383838383838386       -341.80026083777068     
   14.545454545454547       -345.89396730370106     
   14.707070707070708       -350.07755471709146     
   14.868686868686870       -354.59879143416259     
   15.030303030303031       -359.76598862559069     
   15.191919191919194       -365.88754135704107     
   15.353535353535355       -373.14435069651881     
   15.515151515151516       -381.35839825291328     
   15.676767676767678       -389.60686094936364     
   15.838383838383839       -395.61332346410904     
   16.000000000000000       -394.82499999999999     
